group,mileage,avgSpeed,maxSpeed,moveTime,engineTime,parking,consumed,avgConsumed,date,day,month,year,weekday,week,turn,initialPitchAngle,initialRollAngle,initialVolFuelRalenti,initialVolFuelOptimo,initialVolSobrecarga,initialHorasRalenti,initialHorasOptimo,finalPitchAngle,finalRollAngle,finalVolFuelRalenti,finalVolFuelOptimo,finalVolFuelSobrecarga,finalHorasRalenti,finalHorasOptimo,fuelRalenti,fuelOptimo,fuelTotal,horasRalenti,horasOptimo,horasTotal,nm
(2022-12-19) Dia,89.89,13.0,49.0,6.86,6.1,0.98,307.16,0.29,2022-12-19,19,12,2022,0,51,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-19) Noche,104.95,11.0,48.0,6.47,8.47,2.51,312.35,0.34,2022-12-19,19,12,2022,0,51,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-20) Dia,69.91,16.0,52.0,5.25,12.81,0.5,635.09,0.11,2022-12-20,20,12,2022,1,51,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-20) Noche,100.85,11.0,45.0,5.51,8.65,2.4,311.13,0.32,2022-12-20,20,12,2022,1,51,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-21) Dia,61.72,17.0,47.0,2.4,12.04,1.31,441.89,0.14,2022-12-21,21,12,2022,2,51,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-21) Noche,100.78,8.0,51.0,7.65,8.6,5.1,268.75,0.37,2022-12-21,21,12,2022,2,51,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-22) Dia,159.01,13.0,54.0,9.68,11.27,1.55,405.26,0.39,2022-12-22,22,12,2022,3,52,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-22) Noche,148.06,12.0,43.0,9.38,9.75,2.86,390.61,0.38,2022-12-22,22,12,2022,3,52,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-23) Dia,166.27,14.0,58.0,8.36,10.57,3.36,400.38,0.42,2022-12-23,23,12,2022,4,52,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-23) Noche,155.07,13.0,56.0,8.88,10.27,3.1,378.69,0.41,2022-12-23,23,12,2022,4,52,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-24) Dia,207.71,17.0,58.0,11.76,10.42,1.89,516.64,0.4,2022-12-24,24,12,2022,5,52,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-24) Noche,133.67,11.0,55.0,4.98,7.07,5.33,327.53,0.41,2022-12-24,24,12,2022,5,52,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-25) Dia,201.44,17.0,56.0,9.86,10.28,2.93,398.91,0.5,2022-12-25,25,12,2022,6,52,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-25) Noche,194.69,16.0,55.0,13.33,9.83,2.74,474.93,0.41,2022-12-25,25,12,2022,6,52,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-26) Dia,138.89,12.0,46.0,6.88,10.11,2.73,412.3,0.34,2022-12-26,26,12,2022,0,52,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-26) Noche,173.55,14.0,54.0,7.61,10.16,1.86,493.77,0.35,2022-12-26,26,12,2022,0,52,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-27) Dia,95.67,8.0,46.0,6.41,7.1,5.56,264.31,0.36,2022-12-27,27,12,2022,1,52,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-27) Noche,8.01,1.0,34.0,0.4,0.98,11.57,24.02,0.33,2022-12-27,27,12,2022,1,52,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-28) Dia,123.21,10.0,43.0,11.98,9.05,4.78,346.51,0.36,2022-12-28,28,12,2022,2,52,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-28) Noche,167.98,14.0,56.0,5.38,10.16,1.83,421.65,0.4,2022-12-28,28,12,2022,2,52,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-29) Dia,207.76,17.0,56.0,10.5,11.19,1.48,519.95,0.4,2022-12-29,29,12,2022,3,53,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-29) Noche,48.74,4.0,55.0,3.36,3.46,9.53,91.02,0.54,2022-12-29,29,12,2022,3,53,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-30) Dia,184.43,15.0,52.0,10.5,10.38,2.06,464.96,0.4,2022-12-30,30,12,2022,4,53,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-30) Noche,121.04,10.0,57.0,8.33,10.19,2.18,344.46,0.35,2022-12-30,30,12,2022,4,53,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-31) Dia,151.02,13.0,42.0,8.63,10.6,3.4,336.64,0.45,2022-12-31,31,12,2022,5,53,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-31) Noche,143.27,12.0,55.0,9.45,10.12,2.66,388.06,0.37,2022-12-31,31,12,2022,5,53,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-01) Dia,183.12,15.0,53.0,9.88,10.3,2.8,431.98,0.42,2023-01-01,1,1,2023,6,53,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-01) Noche,96.6,8.0,49.0,5.11,10.38,6.19,339.06,0.28,2023-01-01,1,1,2023,6,53,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
