group,mileage,avgSpeed,maxSpeed,moveTime,engineTime,parking,consumed,avgConsumed,date,day,month,year,weekday,week,turn,initialPitchAngle,initialRollAngle,initialVolFuelRalenti,initialVolFuelOptimo,initialVolSobrecarga,initialHorasRalenti,initialHorasOptimo,finalPitchAngle,finalRollAngle,finalVolFuelRalenti,finalVolFuelOptimo,finalVolFuelSobrecarga,finalHorasRalenti,finalHorasOptimo,fuelRalenti,fuelOptimo,fuelTotal,horasRalenti,horasOptimo,horasTotal,nm
(2022-12-07) Noche,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,2022-12-07,7,12,2022,2,49,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-08) Dia,0.11,0.0,8.0,0.0,0.0,2.0,0.0,0.0,2022-12-08,8,12,2022,3,50,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-10) Dia,3.06,0.0,11.0,0.0,0.45,10.19,3.37,0.91,2022-12-10,10,12,2022,5,50,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-10) Noche,105.72,9.0,41.0,6.71,9.24,5.58,329.48,0.32,2022-12-10,10,12,2022,5,50,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-11) Dia,104.56,9.0,48.0,6.16,7.08,5.5,246.65,0.42,2022-12-11,11,12,2022,6,50,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-11) Noche,69.16,6.0,44.0,5.91,5.3,7.45,171.39,0.4,2022-12-11,11,12,2022,6,50,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-12) Dia,22.24,2.0,46.0,0.16,2.26,10.45,82.27,0.27,2022-12-12,12,12,2022,0,50,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-12) Noche,1.76,0.0,0.0,0.0,0.1,10.73,0.62,2.83,2022-12-12,12,12,2022,0,50,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-13) Dia,0.68,0.0,0.0,0.0,0.04,2.22,0.08,8.04,2022-12-13,13,12,2022,1,50,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2022-12-13) Noche,1.91,0.0,4.0,0.0,1.42,7.96,20.15,0.09,2022-12-13,13,12,2022,1,50,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
