datetime,mileage,avgSpeed,maxSpeed,moveTime,engineTime,parking,consumed,avgConsumed,initialPitchAngle,initialRollAngle,initialVolFuelRalenti,initialVolFuelOptimo,initialVolSobrecarga,initialHorasRalenti,initialHorasOptimo,finalPitchAngle,finalRollAngle,finalVolFuelRalenti,finalVolFuelOptimo,finalVolFuelSobrecarga,finalHorasRalenti,finalHorasOptimo,fuelRalenti,fuelOptimo,fuelTotal,horasRalenti,horasOptimo,horasTotal,nm,timestamp,diff,date,label_dt,label_hr,hour,turn,day,year,month,week,year_week,month_week,nroday,nrohour
2022-12-07 21:00:00,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670446800,0.0,2022-12-07,2022-12-07 21:00,21:00,21,night,Wednesday,2022,12,48,2022,12,7,14
2022-12-08 07:00:00,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670482800,10.0,2022-12-08,2022-12-08 07:00,07:00,7,day,Thursday,2022,12,49,2022,12,1,0
2022-12-08 08:00:00,0.06,0.0,8.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670486400,1.0,2022-12-08,2022-12-08 08:00,08:00,8,day,Thursday,2022,12,49,2022,12,1,1
2022-12-08 09:00:00,0.05,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670490000,1.0,2022-12-08,2022-12-08 09:00,09:00,9,day,Thursday,2022,12,49,2022,12,1,2
2022-12-10 08:00:00,0.26,1.0,4.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670659200,47.0,2022-12-10,2022-12-10 08:00,08:00,8,day,Saturday,2022,12,49,2022,12,3,1
2022-12-10 09:00:00,0.61,1.0,11.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670662800,1.0,2022-12-10,2022-12-10 09:00,09:00,9,day,Saturday,2022,12,49,2022,12,3,2
2022-12-10 10:00:00,0.35,1.0,7.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670666400,1.0,2022-12-10,2022-12-10 10:00,10:00,10,day,Saturday,2022,12,49,2022,12,3,3
2022-12-10 13:00:00,0.06,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670677200,3.0,2022-12-10,2022-12-10 13:00,13:00,13,day,Saturday,2022,12,49,2022,12,3,6
2022-12-10 14:00:00,0.25,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670680800,1.0,2022-12-10,2022-12-10 14:00,14:00,14,day,Saturday,2022,12,49,2022,12,3,7
2022-12-10 15:00:00,0.19,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670684400,1.0,2022-12-10,2022-12-10 15:00,15:00,15,day,Saturday,2022,12,49,2022,12,3,8
